rus	eng
Email: info@e-e-e.cz	E-mail: info@e-e-e.cz
Фирма зарегистрирована в Городском суде в г. Праге, раздел Б, вкладыш 14857.	The company has been registered with the Municipal Court in Prague, in Section B, File 14857.
Новости:	News:
22.02.09	22.02.09
С января месяца 2009 г. открыты новые офисные помещения на улице V Kolkovně 3 (В Колковне, д. 3), Прага-1. Данные помещения находятся поблизости всех банков-партнеров.	Since January 2009 new office premises in the street V Kolkovně 3, Prague 1, have been opened. These premises are situated in a close vicinity of all our partner banks.
O НАС Новости Референции Контакт	About us News References Contacts
Новости	News
02 / 2009	02 / 2009
Открыты новые офисные помещения (22. 02.)	New projects (22. 02.) New office premises have been opened (19. 02.)
Компания АО «East Export Engineering» («EEE») исходит из успехов чешских фирм и банков в области экспортного финансирования; она поставила перед собой цель далее развивать поддержку финансирования чешских и зарубежных проектов с участием чешских фирм в качестве подрядчиков/поставщиков.	East Export Engineering a.s. (EEE) has reassumed the previous success of Czech companies and banks in the field of export financing and commenced its activity with the aim to further develop the support of financing of home and foreign schemes involving supplier participation of Czech companies.
"Деятельность компании «EEE» включает помимо обеспечения финансирования и комплексный подряд „под ключ"", или же частичные поставки и услуги субподрядчиков."	This way provided financing grants a number of advantages, among others the choice of suitable financing instruments, risk elimination, assessment of client's bank, and others.Apart from the provision of financing, EEE's activity includes also a complete turnkey delivery of capital equipment, or further partial deliveries.
Наша команда состоит из опытнейших специалистов, которые уже реализовали ряд успешных проектов.	Our team consists of highly experienced professionals who have already successfully implemented several schemes.
"Они принимали участие, например, и в первом финансировании экспорта с применением метода мультисорсинга в истории Чешской Республики, за которое журнал «Global Trade Review» присвоил Коммерческому банку приз „Лучшая сделка 2006 года""."	"Among others, they have participated in the first multi-sourcing financing scheme in the history of the Czech Republic, for which the Czech Commercial Bank has been awarded the award ""The 2006 best business"" by the Global Trade Review journal."
Мы уверены, что сотрудничество с нашей фирмой принесет Вам пользу, и Вы оцените наш долгосрочный опыт, который мы готовы использовать с выгодой именно для Вас.	We are convinced that the co-operation with EEE will be beneficial for you and you will thus appraise our long-term experience that we are ready to value for you.
Референции	References
Специалисты нашей фирмы принимали участие в обеспечении финансирования проекта строительства фабрики по производству упаковочной бумаги и гофрокоробов компании «Гофра» в Московской области.	Corporate expert workers have taken part in the provision of financing of a construction scheme of Gofra, a factory for the production of packaging paper and boxes in the Moscow region.
"За данный проект стоимостью 17 миллионов евро «Коммерческий банк» получил престижный приз журнала «Global Trade Review» ""Лучшая сделка 2006 года""."	"For this scheme amounting to 17 million Euros Czech Commercial Bank has been awarded the award ""The 2006 best business"", a prestigious award of the journal Global Trade Review."
Можно констатировать, что, таким образом, страховые компании подтвердили свое доверие в финансовую структуру и в EGAP, как ведущего страховщика всей сделки. При содействии менеджера проекта, инж. Рафаэла Карпишека, который, вместе с представителями КБ, руководил всем проектом, был заключен консорциальный договор между шестью компаниями из разных стран, во главе которых стала чешская подрядная компания.	Aided by the project manager, Mr. Rafael Karpíšek, MSc, who controlled the whole scheme together with KB representatives, a consortium agreement was established of six companies from various countries, being headed by a Czech supplying company.
Таким образом, были выполнены все условия для финансирования и его страхования.	Thus, all conditions were met to enable the financing and its insurance.
